关键词,词频,词频占比,词性,情感,显示
芯片,50805,0.04831319847543116,n,中性,1
 ,45882,0.043631653822453154,null,中性,1
高通,39008,0.03709479866410036,nr,中性,1
市场,32764,0.031157044284008003,n,中性,1
联发,30268,0.02878346405775712,nz,中性,1
技术,29332,0.02789337147291304,n,中性,1
采用,28301,0.026912938294521748,v,中性,1
处理器,27971,0.02659912360114723,n,中性,1
公司,23750,0.022585148386802284,n,中性,1
华为,22767,0.02165036098199274,nz,中性,1
产品,20070,0.01908563907886829,n,中性,1
骁,19465,0.01851031214101501,null,中性,1
小米,18817,0.017894094197661414,n,中性,1
企业,18561,0.017650650071892093,n,中性,1
苹果,17560,0.016698745501989395,n,中性,1
厂商,17410,0.016556102459546432,n,中性,1
oppo,15532,0.014770211568160552,en,中性,1
设计,15449,0.014691282418008779,vn,中性,1
方面,15335,0.014582873705752128,n,中性,1
全球,14488,0.013777415992757537,n,中性,1
三星,13511,0.012848334309645713,ntc,中性,1
摄像头,13167,0.012521206265643186,n,中性,1
像素,13157,0.012511696729480323,gi,中性,1
研发,11505,0.01094072135537517,j,中性,1
用户,11489,0.010925506097514588,n,中性,1
魅族,10981,0.010442421660441091,n,中性,1
美国,10368,0.00985948709365752,ns,中性,1
性能,10323,0.009816694180924632,n,中性,1
领域,9797,0.009316492578757978,n,中性,1
高端,9687,0.009211887680966473,nz,正面,1
智能手机,9681,0.009206181959268755,nz,中性,1
系统,9574,0.009104429922326109,n,中性,1
搭载,9157,0.008707882264334674,v,中性,1
专利,9087,0.008641315511194627,n,中性,1
移动,9015,0.008572846850822005,vn,中性,1
系列,8997,0.008555729685728848,q,中性,1
应用,8941,0.00850247628321681,vn,中性,1
iphone,8662,0.008237160224272901,en,中性,1
科技,8639,0.008215288291098313,n,中性,1
推出,8620,0.008197220172388872,v,中性,1
vivo,8511,0.008093566228213653,en,中性,1
品牌,8261,0.007855827824142049,n,中性,1
功能,8231,0.007827299215653458,n,中性,1
基带,8155,0.00775502674081569,nz,中性,1
智能,7895,0.0075077788005812225,n,中性,1
这款,7892,0.007504925939732364,r,中性,1
亿美元,7853,0.007467838748697194,mq,中性,1
中兴,7509,0.007140710704694668,v,中性,1
价格,7491,0.007123593539601512,n,中性,1
半导体,7440,0.007075094905170906,n,中性,1
英特尔,7425,0.007060830600926609,nz,中性,1
国内,7375,0.0070132829201122885,s,中性,1
​,7333,0.00697334286822826,null,中性,1
全面,7256,0.0069001194397742055,ad,正面,1
屏幕,7090,0.006742261139470661,n,中性,1
售价,7033,0.006688056783342336,n,中性,1
旗舰,7006,0.0066623810357026025,n,中性,1
麒麟,6950,0.006609127633190564,n,中性,1
行业,6830,0.006495013199236194,n,中性,1
产业,6633,0.006307675336827771,n,中性,1
手机芯片,6468,0.006150767990140513,nz,中性,1
拍照,6395,0.006081348376151605,v,中性,1
工艺,6259,0.005952018684336653,n,中性,1
人工智能,6190,0.00588640288481289,n,中性,1
后置,6061,0.005763729868311944,n,中性,1
gpu,5949,0.005657223063287865,en,中性,1
问题,5843,0.005556421979961506,n,中性,1
发展,5582,0.005308223086110752,vn,中性,1
硬件,5543,0.005271135895075582,n,中性,1
一款,5400,0.005135149527946625,mq,中性,1
pro,5257,0.004999163160817668,en,中性,1
制造,5119,0.004867931561770143,v,中性,1
配置,4861,0.004622585528768249,vn,中性,1
设备,4854,0.004615928853454244,n,中性,1
合作,4817,0.004580743569651647,vn,中性,1
时代,4743,0.004510373002046452,n,中性,1
note,4683,0.004453315785069268,en,中性,1
收购,4669,0.0044400024344412575,v,中性,1
网络,4624,0.004397209521708369,n,中性,1
机身,4571,0.00434680898004519,n,中性,1
销量,4571,0.00434680898004519,n,中性,1
helio,4547,0.004323986093254315,en,中性,1
台湾,4469,0.0042498117111839755,ns,中性,1
新机,4436,0.004218430241846523,n,中性,1
英寸,4419,0.0042022640303696545,q,中性,1
主要,4409,0.004192754494206791,b,中性,1
机型,4389,0.004173735421881063,n,中性,1
arm,4341,0.004128089648299314,en,中性,1
平台,4324,0.004111923436822445,n,中性,1
标准,4321,0.004109070575973586,n,中性,1
cpu,4316,0.004104315807892154,en,中性,1
游戏,4315,0.004103364854275868,n,中性,1
联网,4238,0.0040301414258218145,v,中性,1
中兴通讯,4212,0.0040054166317983675,ntc,中性,1
体验,4188,0.003982593745007494,vn,中性,1
核心,4158,0.003954065136518901,n,中性,1
实现,4070,0.003870381218285697,v,中性,1
诺基亚,4057,0.0038580188212739737,nz,中性,1
魅,3975,0.0037800406247384876,null,中性,1
曝光,3871,0.003681141448644701,v,中性,1
