关键词,词频,词频占比,词性,情感,显示
iphone,1504255,0.07890453540240785,en,中性,1
 ,1440232,0.0755462583349769,null,中性,1
苹果,1256986,0.06593423079021246,n,中性,1
​,1028985,0.05397461425160405,null,中性,1
公司,440671,0.023115057300999147,n,中性,1
用户,431745,0.02264685085794136,n,中性,1
推荐,347554,0.018230676911327175,v,中性,1
市场,331788,0.01740368354573799,n,中性,1
产品,330622,0.017342521915376642,n,中性,1
客户端,311690,0.016349458462545582,nz,中性,1
ipad,298955,0.015681453863358834,en,中性,1
小米,293190,0.015379055236400718,n,中性,1
技术,291357,0.015282906635669715,n,中性,1
赞赏,290894,0.015258620327901873,v,正面,1
华为,272571,0.014297501500190933,nz,中性,1
·,247675,0.012991601028942146,w,中性,1
功能,245393,0.012871900479641464,n,中性,1
企业,210319,0.01103212087132768,n,中性,1
问题,208909,0.010958160409226909,n,中性,1
价格,204019,0.010701659232154022,n,中性,1
设计,195398,0.010249451328770514,vn,中性,1
系统,186717,0.009794096171680592,n,中性,1
手机壳,185345,0.00972212897026055,n,中性,1
美国,183770,0.009639513560467137,ns,中性,1
发自,182378,0.009566497274478291,v,中性,1
三星,181159,0.00950255557000961,ntc,中性,1
全球,179671,0.009424503678090498,n,中性,1
app,179489,0.00941495700851437,en,中性,1
下载,176677,0.00926745571814035,v,中性,1
采用,172210,0.009033142679697697,v,中性,1
屏幕,154208,0.00808886165931608,n,中性,1
品牌,150487,0.007893679475289862,n,中性,1
安卓,148467,0.007787721933840531,nz,中性,1
pro,142843,0.007492719353092491,en,中性,1
步行街,142052,0.007451228058396243,n,中性,1
科技,140533,0.007371550085395484,n,中性,1
微信,140259,0.007357177626802852,n,中性,1
设备,138346,0.007256832687796629,n,中性,1
应用,138044,0.007240991510807669,vn,中性,1
信息,136322,0.0071506653294335365,n,中性,1
芯片,135370,0.007100728903958406,n,中性,1
智能手机,133892,0.007023201554323697,nz,中性,1
智能,132716,0.006961515381677948,n,中性,1
ios,131911,0.006919289727783536,en,中性,1
厂商,131716,0.006909061153237685,n,中性,1
macbook,126889,0.006655864592556535,en,中性,1
行业,123083,0.006456223799112894,n,中性,1
服务,119509,0.006268752386667394,vn,中性,1
现金,119508,0.006268699932438954,n,中性,1
平台,117692,0.006173443053591436,n,中性,1
视频,115581,0.006062712177354041,n,中性,1
摄像头,114144,0.0059873354510853825,n,中性,1
iphonex,112727,0.0059130078093855305,en,中性,1
方面,112530,0.0059026743263827985,n,中性,1
推出,112067,0.005878388018614957,v,中性,1
apple,111885,0.005868841349038829,en,中性,1
充电,109045,0.005719871340268481,v,中性,1
oppo,107464,0.005636941205104426,en,中性,1
系列,105808,0.00555007700280735,q,中性,1
装备,104661,0.005489912002786369,n,中性,1
亿美元,104128,0.0054619538990277085,mq,中性,1
plus,103376,0.005422508319240631,en,中性,1
领取,103252,0.005416003994914038,v,中性,1
这款,101916,0.005345925145717846,r,中性,1
工作,101625,0.00533066096524173,vn,中性,1
发布会,100696,0.005281930987020725,n,中性,1
领域,99863,0.005238236614729987,n,中性,1
电脑,99604,0.005224650969563959,n,中性,1
移动,97815,0.005130810354884328,vn,中性,1
国内,97292,0.00510337679341007,s,中性,1
体验,96119,0.0050418479834496415,vn,中性,1
发展,94677,0.0049662089860387825,vn,中性,1
游戏,94377,0.004950472717506703,n,中性,1
消费者,93775,0.004918895271985665,n,中性,1
max,90483,0.004746215951960319,en,中性,1
vivo,89785,0.004709602900509016,en,中性,1
硬件,85289,0.004473768689441594,n,中性,1
销量,84482,0.004431438127090301,n,中性,1
英寸,83399,0.004374630197689496,q,中性,1
处理器,82968,0.004352022425231743,n,中性,1
苹果公司,81538,0.004277012878562167,ntc,中性,1
升级,80728,0.004234524953525554,vn,中性,1
版本,80103,0.004201741060750389,n,中性,1
模式,79540,0.004172209330138521,n,中性,1
内容,78650,0.004125525066826687,n,中性,1
新款,78336,0.004109054439096444,b,中性,1
互联网,78227,0.004103336928196455,n,中性,1
高通,77743,0.004077949081631368,nr,中性,1
购买,77558,0.0040682450493699195,v,中性,1
软件,77392,0.004059537647448836,n,中性,1
券,77151,0.0040468961783947325,ng,中性,1
网络,76273,0.0040008413658241815,n,中性,1
业务,76253,0.003999792281255377,n,中性,1
汽车,76041,0.003988671984826041,n,中性,1
全面,75047,0.003936532481756419,ad,正面,1
亿元,74251,0.00389477891591797,q,中性,1
「,74046,0.003884025799087716,null,中性,1
全新,73949,0.0038789377389290107,b,正面,1
数据,73432,0.0038518189028253946,n,中性,1
」,72678,0.003812268414581436,null,中性,1
