关键词,词频,词频占比,词性,情感,显示
高通,239347,0.04804323965837988,nr,中性,1
 ,184475,0.03702898568179099,null,中性,1
芯片,158862,0.031887782753113866,n,中性,1
骁,154971,0.03110675668840131,null,中性,1
技术,149774,0.030063582065345245,n,中性,1
公司,131301,0.02635556497631028,n,中性,1
华为,128923,0.025878237815712374,nz,中性,1
采用,124720,0.025034585142881,v,中性,1
小米,117453,0.02357590706211355,n,中性,1
市场,104898,0.02105578826425538,n,中性,1
美国,95059,0.019080842119123836,ns,中性,1
处理器,92121,0.018491108226004978,n,中性,1
企业,83757,0.016812233385281303,n,中性,1
产品,82111,0.016481837882192926,n,中性,1
摄像头,79419,0.015941482660860058,n,中性,1
方面,77336,0.015523369761143723,n,中性,1
苹果,76071,0.015269450981431211,n,中性,1
用户,75899,0.015234926056442633,n,中性,1
全球,73534,0.014760208337849676,n,中性,1
设计,73021,0.01465723574180816,vn,中性,1
像素,68340,0.013717635893717828,gi,中性,1
三星,65801,0.013207991797520148,ntc,中性,1
厂商,59676,0.011978543160572215,n,中性,1
移动,54812,0.011002210398104501,vn,中性,1
领域,54685,0.010976718156979214,n,中性,1
性能,54462,0.010931956190278905,n,中性,1
屏幕,53779,0.010794860121864955,n,中性,1
亿美元,52606,0.010559408162495173,mq,中性,1
搭载,51716,0.010380761748310085,v,中性,1
科技,50416,0.010119817547815014,n,中性,1
旗舰,49224,0.00988055178859184,n,中性,1
oppo,46704,0.009374721492247549,en,中性,1
功能,45313,0.009095511197717822,n,中性,1
vivo,44303,0.00889277762656396,en,中性,1
研发,43532,0.008738017643039574,j,中性,1
iphone,42501,0.008531068819416175,en,中性,1
​,42294,0.008489518473645038,null,中性,1
中兴,41265,0.008282971102637784,v,中性,1
系列,41225,0.008274942050314859,q,中性,1
全面,40842,0.00819806387432285,ad,正面,1
游戏,39619,0.00795257559954941,n,中性,1
这款,39609,0.007950568336468677,r,中性,1
价格,39454,0.007919455758717343,n,中性,1
系统,37992,0.007625993896314424,n,中性,1
拍照,36990,0.007424866135625146,v,中性,1
推出,36962,0.007419245798999098,v,中性,1
智能手机,36660,0.007358626453961013,nz,中性,1
售价,36656,0.00735782354872872,n,中性,1
行业,35356,0.007096879348233649,n,中性,1
应用,35062,0.007037865813660148,vn,中性,1
麒麟,34562,0.006937502659623582,n,中性,1
体验,34418,0.006908598071261051,vn,中性,1
人工智能,34255,0.0068758796830451305,n,中性,1
专利,33848,0.006794184075659366,n,中性,1
智能,33503,0.006724933499374136,n,中性,1
曝光,33182,0.00666050035448266,v,中性,1
硬件,32979,0.006619752913943814,n,中性,1
发展,32803,0.006584425083722943,vn,中性,1
国内,32611,0.006545885632572902,s,中性,1
网络,31867,0.006396545259366492,n,中性,1
设备,31703,0.006363626144842498,n,中性,1
半导体,30572,0.006136604690411786,n,中性,1
配置,30116,0.006045073493930438,vn,中性,1
品牌,30038,0.006029416841900733,n,中性,1
魅族,29052,0.005831500702140626,n,中性,1
问题,28924,0.005805807734707265,n,中性,1
产业,28252,0.0056709196556821205,n,中性,1
收购,28095,0.005639405625314639,v,中性,1
联想,27643,0.005548677334065583,nz,中性,1
note,27122,0.005444098927559481,en,中性,1
正式,27099,0.0054394822224738,ad,中性,1
英特尔,26825,0.005384483214061761,nz,中性,1
提升,26225,0.005264047429217882,v,正面,1
平台,26175,0.005254011113814226,n,中性,1
发布会,25700,0.005158666117479488,n,中性,1
一款,24856,0.0049892531134657645,mq,中性,1
合作,24717,0.0049613521566436,vn,中性,1
后置,24683,0.004954527462169113,n,中性,1
机身,24475,0.004912776390089901,n,中性,1
国家,24311,0.004879857275565907,n,中性,1
英寸,24098,0.004837102571946331,q,中性,1
指纹,24082,0.00483389095101716,n,中性,1
高端,23967,0.00481080742558875,nz,正面,1
pro,23854,0.004788125352776487,en,中性,1
标准,23642,0.0047455713754649825,n,中性,1
新机,23330,0.004682944767346165,n,中性,1
实现,22079,0.004431836155946677,v,中性,1
配备,22034,0.004422803472083387,v,中性,1
时代,21704,0.004356563790419253,n,中性,1
核心,20430,0.004100838473934083,n,中性,1
gpu,20217,0.004058083770314506,en,中性,1
刘海,19956,0.0040056942039074185,nr,中性,1
汽车,19874,0.003989234646645422,n,中性,1
业务,19868,0.003988030288796983,n,中性,1
通信,19480,0.003910148481264608,vn,中性,1
机型,18956,0.0038049678958342868,n,中性,1
制造,18415,0.0036963749631667223,v,中性,1
荣耀,18368,0.003686940826687285,a,中性,1
报道,18077,0.003628529471038004,v,中性,1
达到,17958,0.003604643040377301,v,中性,1
